COMMENT: reward function gives -1 when staying at same distance or leaving goal, else it gives -0.5. This was wrongly implemented by me but see the result at bottom. average reward -100 -> agent is doing nothing all the time. Interesting!
HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 0.01
##################################################
EP	reward	steps	info
151	-145.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0338.
152	-154.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1160.
153	-145.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0286.
154	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1080.
155	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0491.
156	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1108.
157	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0465.
158	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0511.
159	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0625.
160	-147.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0667.
161	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0674.
162	-153.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0921.
163	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0719.
164	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0679.
165	-143.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0708.
166	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0924.
167	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0992.
168	-147.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1025.
169	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0322.
170	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1046.
171	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0635.
172	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0513.
173	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0829.
174	-320.0	171	ACTUATOR: l1 = 0.0740 @step 171
175	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0506.
176	-146.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0388.
177	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0685.
178	-347.0	197	ACTUATOR: l2 = 0.1260 @step 197
179	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0900.
180	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0430.
181	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0680.
