HYPERPARAMS
version: 9	h1_size: 2048	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	E[r]	steps	start_d	end_d	covered	info
177	-218.2	-197.5	500	0.0967	0.0403	0.0564	0
178	-17.4	-197.6	500	0.1059	0.0094	0.0965	0
179	-469.6	-196.6	500	0.0339	0.0278	0.0061	0
180	-295.4	-198.2	500	0.0556	0.0147	0.0409	0
181	-445.3	-198.7	500	0.0222	0.0113	0.0109	0
182	-119.4	-200.0	500	0.1022	0.0260	0.0761	0
183	-115.2	-199.6	500	0.0895	0.0125	0.0770	0
184	-450.5	-199.1	500	0.0298	0.0199	0.0099	0
185	-127.1	-200.5	500	0.0791	0.0045	0.0746	0
186	479.1	-200.1	194	0.0874	0.0030	0.0845	1
187	-285.3	-196.5	500	0.0834	0.0405	0.0429	0
188	-482.4	-197.0	500	0.0338	0.0302	0.0035	0
189	487.2	-198.5	156	0.0816	0.0029	0.0787	1
190	-275.4	-194.9	500	0.0725	0.0276	0.0449	0
191	-241.0	-195.3	500	0.0896	0.0378	0.0518	0
192	-225.6	-195.5	500	0.0894	0.0345	0.0549	0
193	-25.9	-195.7	500	0.1006	0.0058	0.0948	0
194	572.0	-194.8	221	0.1114	0.0028	0.1086	1
195	-166.2	-190.9	500	0.0808	0.0140	0.0668	0
196	-334.9	-190.7	500	0.0740	0.0410	0.0330	0
197	-452.0	-191.5	500	0.0381	0.0285	0.0096	0
198	-145.5	-192.8	500	0.0875	0.0166	0.0709	0
199	-415.6	-192.5	500	0.0487	0.0318	0.0169	0
200	-163.1	-193.7	500	0.0767	0.0093	0.0674	0
201	-151.8	-193.5	500	0.1019	0.0323	0.0696	0
202	-413.1	-193.3	500	0.0329	0.0156	0.0174	0
203	-213.9	-194.4	500	0.0706	0.0134	0.0572	0
204	517.7	-194.5	147	0.0858	0.0029	0.0829	1
205	-476.2	-191.0	500	0.0240	0.0193	0.0048	0
206	-106.5	-192.4	500	0.0858	0.0071	0.0787	0
207	-182.8	-192.0	500	0.0902	0.0268	0.0634	0
208	-324.5	-191.9	500	0.0508	0.0157	0.0351	0
209	-175.0	-192.6	500	0.0811	0.0161	0.0650	0
210	-271.8	-192.5	500	0.0594	0.0138	0.0456	0
211	-137.7	-192.9	500	0.1024	0.0299	0.0725	0
