HYPERPARAMS
version: 2	h1_size: 100	h2_size: 100	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
155	60.2	500	0.0799	0.0679	0.0120	False
156	152.4	500	0.0677	0.0372	0.0305	False
157	166.4	500	0.1061	0.0728	0.0333	False
158	252.0	500	0.1088	0.0584	0.0504	False
159	103.2	500	0.0519	0.0312	0.0206	False
160	57.0	500	0.0382	0.0268	0.0114	False
161	101.0	500	0.0761	0.0559	0.0202	False
162	41.7	500	0.0818	0.0735	0.0083	False
163	-12.1	500	0.0197	0.0222	-0.0024	False
164	-37.9	500	0.0212	0.0287	-0.0076	False
165	68.6	500	0.0871	0.0734	0.0137	False
166	87.4	500	0.1061	0.0886	0.0175	False
167	191.4	500	0.0844	0.0461	0.0383	False
168	247.9	500	0.0719	0.0224	0.0496	False
169	22.3	500	0.0720	0.0676	0.0045	False
170	316.8	500	0.1057	0.0424	0.0634	False
171	90.8	500	0.0734	0.0552	0.0182	False
172	798.6	299	0.1128	0.0029	0.1099	True
173	30.5	500	0.0590	0.0529	0.0061	False
174	201.0	500	0.0664	0.0262	0.0402	False
175	22.9	500	0.0681	0.0636	0.0046	False
176	-45.2	500	0.0394	0.0485	-0.0090	False
177	53.6	500	0.0437	0.0330	0.0107	False
178	-16.5	500	0.0614	0.0647	-0.0033	False
179	-105.9	500	0.0377	0.0588	-0.0212	False
180	14.7	500	0.0636	0.0606	0.0029	False
181	195.2	500	0.0621	0.0231	0.0390	False
182	77.4	500	0.0613	0.0458	0.0155	False
183	25.0	500	0.0459	0.0409	0.0050	False
184	376.1	500	0.1051	0.0298	0.0752	False
185	156.6	500	0.1099	0.0786	0.0313	False
186	-150.3	500	0.0100	0.0401	-0.0301	False
187	-8.4	500	0.0320	0.0336	-0.0017	False
188	69.0	500	0.0853	0.0715	0.0138	False
189	45.9	500	0.0706	0.0614	0.0092	False
190	181.6	500	0.1069	0.0706	0.0363	False
191	17.4	500	0.0412	0.0377	0.0035	False
192	79.0	500	0.0704	0.0546	0.0158	False
193	163.0	500	0.0797	0.0471	0.0326	False
194	416.1	500	0.0990	0.0158	0.0832	False
195	213.0	500	0.0641	0.0215	0.0426	False
196	627.6	156	0.0787	0.0028	0.0759	True
197	46.8	500	0.0465	0.0371	0.0094	False
198	84.7	500	0.0585	0.0416	0.0169	False
199	44.6	500	0.0372	0.0282	0.0089	False
200	580.3	148	0.0691	0.0029	0.0663	True
201	85.7	500	0.1086	0.0914	0.0171	False
202	224.1	500	0.1032	0.0583	0.0448	False
203	3.7	500	0.0258	0.0251	0.0007	False
204	372.0	500	0.1033	0.0289	0.0744	False
205	282.9	500	0.1077	0.0512	0.0566	False
206	218.7	500	0.0895	0.0458	0.0437	False
207	-135.8	500	0.0189	0.0461	-0.0272	False
208	36.8	500	0.0592	0.0518	0.0074	False
209	155.3	500	0.1116	0.0805	0.0311	False
210	82.1	500	0.0941	0.0776	0.0164	False
211	151.9	500	0.1029	0.0725	0.0304	False
212	315.8	500	0.0985	0.0354	0.0632	False
213	199.1	500	0.0651	0.0253	0.0398	False
214	238.4	500	0.0612	0.0135	0.0477	False
215	223.0	500	0.0917	0.0471	0.0446	False
216	290.9	500	0.0945	0.0363	0.0582	False
217	298.8	500	0.0722	0.0125	0.0598	False
218	-42.5	500	0.0197	0.0282	-0.0085	False
219	103.1	500	0.0523	0.0317	0.0206	False
220	53.6	500	0.0831	0.0723	0.0107	False
221	65.0	500	0.0753	0.0623	0.0130	False
222	-105.3	500	0.0248	0.0459	-0.0211	False
223	147.2	500	0.0729	0.0435	0.0294	False
224	82.8	500	0.1005	0.0839	0.0166	False
225	393.5	500	0.0906	0.0119	0.0787	False
226	343.3	500	0.1037	0.0351	0.0687	False
227	89.1	500	0.1042	0.0863	0.0178	False
228	17.5	500	0.0700	0.0665	0.0035	False
229	51.7	500	0.0497	0.0394	0.0103	False
230	309.1	500	0.1187	0.0568	0.0618	False
231	280.7	500	0.0776	0.0215	0.0561	False
232	268.9	500	0.0922	0.0384	0.0538	False
233	272.9	500	0.0899	0.0353	0.0546	False
234	-22.8	500	0.0487	0.0532	-0.0046	False
235	13.6	500	0.0232	0.0205	0.0027	False
236	71.0	500	0.0533	0.0391	0.0142	False
237	85.5	500	0.0438	0.0267	0.0171	False
238	-100.0	500	0.0204	0.0405	-0.0200	False
239	155.8	500	0.0538	0.0227	0.0312	False
240	386.1	500	0.0925	0.0153	0.0772	False
241	-39.6	500	0.0241	0.0320	-0.0079	False
242	136.5	500	0.0549	0.0276	0.0273	False
243	298.4	500	0.0857	0.0260	0.0597	False
244	10.0	500	0.0394	0.0374	0.0020	False
245	161.0	500	0.0709	0.0387	0.0322	False
246	93.2	500	0.1080	0.0894	0.0186	False
247	149.5	500	0.0784	0.0484	0.0299	False
248	396.5	500	0.1086	0.0293	0.0793	False
249	256.5	500	0.1047	0.0534	0.0513	False
250	-23.1	500	0.0123	0.0169	-0.0046	False
251	425.6	500	0.0990	0.0139	0.0851	False
252	170.1	500	0.0669	0.0329	0.0340	False
253	155.3	500	0.0973	0.0663	0.0311	False
254	148.5	500	0.0614	0.0317	0.0297	False
255	314.0	500	0.0835	0.0207	0.0628	False
256	245.6	500	0.0971	0.0480	0.0491	False
257	162.0	500	0.1102	0.0778	0.0324	False
258	222.0	500	0.0877	0.0433	0.0444	False
259	268.7	500	0.0699	0.0161	0.0537	False
260	332.9	500	0.0760	0.0094	0.0666	False
261	423.3	500	0.1053	0.0206	0.0847	False
262	381.2	500	0.0920	0.0157	0.0762	False
263	230.7	500	0.0719	0.0257	0.0461	False
264	101.1	500	0.0517	0.0315	0.0202	False
265	153.0	500	0.0668	0.0362	0.0306	False
266	117.1	500	0.0410	0.0176	0.0234	False
267	108.6	500	0.0698	0.0481	0.0217	False
268	45.8	500	0.0460	0.0368	0.0092	False
269	405.8	500	0.1031	0.0220	0.0812	False
270	24.3	500	0.0484	0.0435	0.0049	False
271	-7.1	500	0.0284	0.0298	-0.0014	False
272	22.8	500	0.0370	0.0324	0.0046	False
273	59.2	500	0.0528	0.0410	0.0118	False
274	438.2	500	0.1124	0.0248	0.0876	False
275	391.7	500	0.0830	0.0047	0.0783	False
276	235.1	500	0.0929	0.0459	0.0470	False
277	139.0	500	0.1090	0.0812	0.0278	False
278	52.5	500	0.0382	0.0277	0.0105	False
279	315.8	500	0.0868	0.0237	0.0632	False
280	92.0	500	0.1029	0.0845	0.0184	False
281	741.2	208	0.1016	0.0029	0.0986	True
282	-123.2	500	0.0194	0.0440	-0.0246	False
283	10.7	500	0.0499	0.0478	0.0021	False
284	355.3	500	0.0921	0.0211	0.0711	False
285	328.8	500	0.1056	0.0398	0.0658	False
286	188.4	500	0.0648	0.0271	0.0377	False
287	148.3	500	0.0435	0.0139	0.0297	False
288	58.1	500	0.0241	0.0125	0.0116	False
289	-72.5	500	0.0136	0.0281	-0.0145	False
290	208.1	500	0.0652	0.0236	0.0416	False
291	29.7	500	0.0252	0.0192	0.0059	False
292	249.0	500	0.0939	0.0441	0.0498	False
293	76.6	500	0.0561	0.0408	0.0153	False
294	418.5	500	0.1125	0.0288	0.0837	False
295	172.6	500	0.0778	0.0433	0.0345	False
296	-100.5	500	0.0228	0.0429	-0.0201	False
297	268.7	500	0.0906	0.0369	0.0537	False
298	263.6	500	0.0912	0.0384	0.0527	False
299	140.8	500	0.0474	0.0192	0.0282	False
300	345.3	500	0.0866	0.0176	0.0691	False
301	55.9	500	0.0776	0.0664	0.0112	False
302	-77.4	500	0.0242	0.0396	-0.0155	False
303	670.4	168	0.0871	0.0027	0.0844	True
304	243.2	500	0.0736	0.0250	0.0486	False
305	209.3	500	0.0835	0.0417	0.0419	False
306	818.0	223	0.1168	0.0028	0.1140	True
307	54.8	500	0.0400	0.0290	0.0110	False
308	319.5	500	0.1019	0.0380	0.0639	False
309	410.2	500	0.1072	0.0252	0.0820	False
310	39.7	500	0.0377	0.0297	0.0079	False
311	-25.9	500	0.0261	0.0313	-0.0052	False
312	249.0	500	0.0817	0.0319	0.0498	False
313	8.3	500	0.0388	0.0372	0.0017	False
314	322.1	500	0.0889	0.0245	0.0644	False
315	379.0	500	0.1058	0.0300	0.0758	False
316	80.1	500	0.0477	0.0317	0.0160	False
317	56.2	500	0.0463	0.0351	0.0112	False
318	60.4	500	0.0556	0.0435	0.0121	False
319	344.1	500	0.0979	0.0291	0.0688	False
320	120.9	500	0.0708	0.0466	0.0242	False
321	23.0	500	0.0660	0.0614	0.0046	False
322	97.2	500	0.0661	0.0466	0.0194	False
323	46.6	500	0.0318	0.0225	0.0093	False
324	230.0	500	0.0848	0.0389	0.0460	False
325	36.0	500	0.0198	0.0126	0.0072	False
326	45.9	500	0.0434	0.0342	0.0092	False
327	48.5	500	0.0415	0.0318	0.0097	False
328	134.3	500	0.0587	0.0318	0.0269	False
329	83.9	500	0.0785	0.0618	0.0168	False
330	-28.9	500	0.0336	0.0394	-0.0058	False
331	266.4	500	0.0922	0.0389	0.0533	False
332	156.5	500	0.0529	0.0216	0.0313	False
333	-66.9	500	0.0359	0.0492	-0.0134	False
334	101.3	500	0.0950	0.0748	0.0203	False
335	-7.2	500	0.0559	0.0573	-0.0014	False
336	170.7	500	0.0935	0.0594	0.0341	False
337	304.9	500	0.0756	0.0146	0.0610	False
338	126.2	500	0.0582	0.0330	0.0252	False
339	-19.8	500	0.0198	0.0237	-0.0040	False
340	487.5	500	0.1058	0.0083	0.0975	False
341	370.4	500	0.0973	0.0233	0.0741	False
342	147.0	500	0.0926	0.0632	0.0294	False
343	-65.0	500	0.0157	0.0287	-0.0130	False
344	395.0	500	0.1073	0.0283	0.0790	False
345	84.1	500	0.0458	0.0290	0.0168	False
346	-46.5	500	0.0280	0.0373	-0.0093	False
347	307.8	500	0.0930	0.0314	0.0616	False
348	34.9	500	0.0420	0.0350	0.0070	False
349	310.3	500	0.0834	0.0214	0.0621	False
350	453.7	500	0.1087	0.0179	0.0907	False
351	154.8	500	0.0727	0.0417	0.0310	False
352	265.4	500	0.0952	0.0421	0.0531	False
353	377.0	500	0.0878	0.0124	0.0754	False
354	375.8	500	0.0955	0.0203	0.0752	False
355	203.6	500	0.0599	0.0192	0.0407	False
356	35.4	500	0.0562	0.0492	0.0071	False
357	236.3	500	0.0949	0.0477	0.0473	False
358	318.5	500	0.0806	0.0169	0.0637	False
359	42.7	500	0.0348	0.0262	0.0085	False
360	249.5	500	0.0789	0.0290	0.0499	False
361	-45.6	500	0.0236	0.0327	-0.0091	False
362	-124.4	500	0.0239	0.0488	-0.0249	False
363	-26.5	500	0.0264	0.0318	-0.0053	False
364	50.4	500	0.0521	0.0420	0.0101	False
365	33.4	500	0.0416	0.0349	0.0067	False
366	418.5	500	0.1111	0.0274	0.0837	False
367	255.2	500	0.0952	0.0441	0.0510	False
368	321.8	500	0.0888	0.0244	0.0644	False
369	415.9	500	0.0906	0.0075	0.0832	False
370	272.7	500	0.0828	0.0282	0.0545	False
371	113.0	500	0.0647	0.0421	0.0226	False
372	273.7	500	0.0825	0.0278	0.0547	False
373	231.9	500	0.0680	0.0216	0.0464	False
374	85.6	500	0.0567	0.0395	0.0171	False
375	114.5	500	0.0504	0.0274	0.0229	False
376	277.3	500	0.0884	0.0329	0.0555	False
377	60.7	500	0.0619	0.0498	0.0121	False
378	117.4	500	0.0595	0.0360	0.0235	False
379	180.3	500	0.0743	0.0382	0.0361	False
